CO2_mean,RH_mean,T_mean,light_mean,sex,age,officeInterior,performanceOverall,Window Area,Construction year,Number of supply devices,Floor mopping frequency,talk,eyeWear
668.3826013513514,45.72079439252336,25.627024922118423,621.8411214953271,Female,3.0,shared,1,1.2,1959.0,0.0,5.0,False,Glasses_contacts
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,Male,3.0,withPartitions,0,1.2,1959.0,0.0,5.0,True,Glasses_contacts
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,Male,2.0,withPartitions,0,1.2,1959.0,0.0,5.0,False,None
965.0411622276029,46.12716049382713,26.09205246913581,129.75462962962962,Male,2.0,withoutPartitions,1,1.2,1959.0,0.0,5.0,True,Glasses_contacts
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,Female,2.0,withPartitions,0,1.2,1959.0,0.0,5.0,True,Glasses_contacts
668.3826013513514,45.72079439252336,25.627024922118423,621.8411214953271,,2.0,shared,0,1.2,1959.0,0.0,5.0,False,Glasses_contacts
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,Male,2.0,withPartitions,0,1.2,1959.0,0.0,5.0,True,Glasses_contacts
845.2443181818181,46.239393939393935,23.100757575757573,55.07575757575758,Female,4.0,single,0,1.3,1985.0,1.0,2.0,False,Glasses_contacts
628.93542074364,42.32504854368936,24.63747572815537,147.00194174757283,Female,3.0,shared,1,1.7,1985.0,0.0,2.0,False,Glasses_contacts
628.93542074364,42.32504854368936,24.63747572815537,147.00194174757283,Female,2.0,shared,1,1.7,1985.0,0.0,2.0,False,Glasses_contacts
845.2443181818181,46.239393939393935,23.100757575757573,55.07575757575758,Female,2.0,single,1,1.3,1985.0,1.0,2.0,False,None
845.2443181818181,46.239393939393935,23.100757575757573,55.07575757575758,Male,4.0,single,1,1.3,1985.0,1.0,2.0,False,Glasses_contacts
628.93542074364,42.32504854368936,24.63747572815537,147.00194174757283,Female,3.0,shared,1,1.7,1985.0,0.0,2.0,True,Glasses_contacts
562.1269379844962,45.090891472868144,23.61579457364339,130.40891472868216,Female,1.0,shared,1,1.9,1985.0,0.0,2.0,False,Glasses_contacts
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,Male,0.0,withoutPartitions,1,21.2,1981.0,11.0,4.0,False,None
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,Male,1.0,shared,1,21.2,1981.0,11.0,4.0,False,None
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,Male,2.0,withoutPartitions,1,21.2,1981.0,11.0,4.0,False,None
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,Male,0.0,withPartitions,1,21.2,1981.0,11.0,4.0,False,Glasses_contacts
588.261040235525,26.440231696014862,23.53596848934207,143.45319740500463,Male,2.0,withoutPartitions,1,32.646,1991.0,17.0,4.0,False,None
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,Male,1.0,withoutPartitions,1,9.492,1991.0,8.0,4.0,True,None
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,Male,3.0,withoutPartitions,1,9.492,1991.0,8.0,4.0,False,Glasses_contacts
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,Male,1.0,withoutPartitions,1,9.492,1991.0,8.0,4.0,False,None
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,Male,1.0,withoutPartitions,1,9.492,1991.0,8.0,4.0,False,None
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,Male,2.0,withoutPartitions,1,9.492,1991.0,8.0,4.0,True,None
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,,2.0,withoutPartitions,0,9.492,1991.0,8.0,4.0,False,Glasses_contacts
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,,1.0,shared,1,9.492,1991.0,8.0,4.0,True,None
588.261040235525,26.440231696014862,23.53596848934207,143.45319740500463,Male,1.0,withoutPartitions,1,32.646,1991.0,17.0,4.0,True,None
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,Female,2.0,withoutPartitions,0,25.44,1893.0,0.0,0.0,True,Glasses_contacts
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,Female,0.0,withPartitions,1,25.44,1893.0,0.0,0.0,False,None
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,Male,2.0,withoutPartitions,0,25.44,1893.0,0.0,0.0,False,Glasses_contacts
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,Male,0.0,withoutPartitions,1,25.44,1893.0,0.0,0.0,False,None
