CO2_mean,O1_constructionYear,O2_opWin,O2_winArea,O2_winShadePercentage,RH_mean,T_mean,light_mean,sound_mean,sex,age,job,contacts,officeInterior,hoursatdesk,outside,cleaningProd,noiseTelephones,lightTooDark,lightTooBright,lightFlicker,lightReflections,lightNoTask,symptabilitywork,office_volume,renovationYear,office_wallFinish,office_supplyAir,office_returnAir,outdoorCont_smokeGenerators,outdoorCont_heavyTraffic,floorMope,office_windowOrientation,viewGreenNature,suspendedCeiling,floorWood,lightLED,lightIncan,lightFlour,office_desklights,otherPlantWater,otherLounge,tech,talk,noiseExterior,winA_perVol
609.5822550831793,2019.0,26.0,7.6,100.0,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,0.0,Technical,None,shared,2.0,False,False,False,False,False,False,False,False,0,76.68,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,1,True,False,False,False,False,0.09911319770474698
609.5822550831793,2019.0,26.0,7.6,100.0,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,1.0,Technical,None,shared,1.0,False,False,False,False,False,False,False,False,0,76.68,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,1,True,False,False,False,False,0.09911319770474698
606.615238095238,2019.0,26.0,19.0,100.0,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Male,3.0,Technical,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,0,102.6,0,paintWallboard,ventPerfCeiling,,False,True,5.0,Northwest,True,True,False,True,False,False,3,True,False,False,False,False,0.1851851851851852
606.615238095238,2019.0,26.0,19.0,100.0,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,0.0,Professional,None,shared,2.0,False,False,False,False,False,False,False,False,0,102.6,0,paintWallboard,ventPerfCeiling,,False,True,5.0,Northwest,True,True,False,True,False,False,3,True,False,False,False,False,0.1851851851851852
609.5822550831793,2019.0,26.0,7.6,100.0,21.12957486136787,24.44343807763408,251.2162661737523,48.07024029574861,Male,0.0,Administrative,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,0,76.68,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,1,True,False,False,False,False,0.09911319770474698
564.4222222222222,2019.0,26.0,7.6,0.0,21.565740740740743,24.32500000000002,134.82962962962964,46.70185185185185,Female,3.0,Administrative,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,0,77.49000000000001,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,West,True,True,False,True,False,False,2,True,False,False,False,False,0.09807717124790294
606.615238095238,2019.0,26.0,19.0,100.0,21.73438077634011,23.78022181146025,398.6395563770795,41.72273567467653,Female,2.0,Administrative,Glasses_contacts,shared,2.0,False,False,True,False,False,False,False,False,1,102.6,0,paintWallboard,ventPerfCeiling,,False,True,5.0,Northwest,True,True,False,True,False,False,3,True,False,False,True,False,0.1851851851851852
629.4061224489795,2019.0,26.0,3.8,100.0,21.595009242144204,23.82975970425141,184.2181146025878,41.05175600739371,Male,0.0,Professional,None,shared,2.0,False,False,False,False,False,False,True,False,0,37.260000000000005,0,paintWallboard,ventPerfCeiling,ventReturnOther,False,True,5.0,East,False,True,False,True,False,False,4,True,True,False,False,False,0.1019860440150295
601.35,2014.0,24.0,4.2,100.0,22.90611111111109,24.371481481481453,480.162962962963,44.14814814814815,Male,3.0,Technical,Glasses_contacts,shared,2.0,False,False,False,False,False,False,False,False,1,34.2,0,paintWallboard,ventNoSupply,ventReturnOther,False,True,4.0,West,True,True,False,False,False,True,4,True,True,False,False,False,0.12280701754385964
684.8589981447125,2014.0,24.0,4.2,100.0,22.237707948244,23.43733826247688,1229.079482439926,40.04805914972273,Male,0.0,Technical,None,shared,1.0,True,False,False,False,False,False,False,False,1,34.2,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,West,True,True,False,False,False,True,0,True,False,False,True,True,0.12280701754385964
723.56261682243,2014.0,25.0,6.3,100.0,20.65111111111112,25.13092592592598,417.7851851851852,41.15,Male,3.0,Administrative,Glasses_contacts,withoutPartitions,1.0,False,False,False,False,False,False,False,False,0,67.5,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,North,True,True,False,False,False,True,4,False,False,False,False,False,0.09333333333333334
684.8589981447125,2014.0,24.0,4.2,100.0,22.237707948244,23.43733826247688,1229.079482439926,40.04805914972273,Female,0.0,,Glasses_contacts,single,1.0,False,False,True,True,False,False,False,False,1,34.2,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,West,True,True,False,False,False,True,0,True,False,False,True,False,0.12280701754385964
706.8333333333334,2014.0,30.0,6.2,100.0,22.85074074074075,24.30296296296296,803.3,42.87777777777778,Female,2.0,Managerial,Glasses_contacts,single,1.0,False,False,False,False,False,False,False,False,0,51.6,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,West,True,True,False,False,True,False,4,True,False,False,False,False,0.12015503875968993
643.3450834879407,2014.0,45.0,5.3,100.0,24.616326530612245,24.518923933209635,572.9647495361781,41.10760667903525,Male,3.0,Technical,None,shared,2.0,False,False,False,False,True,False,True,False,0,46.98,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,West,True,True,False,False,False,True,4,False,True,False,False,False,0.11281396338867604
684.8589981447125,2014.0,24.0,4.2,100.0,22.237707948244,23.43733826247688,1229.079482439926,40.04805914972273,Female,4.0,Administrative,Glasses_contacts,single,2.0,True,False,False,True,False,False,False,False,0,34.2,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,West,True,True,False,False,False,True,0,True,False,False,True,True,0.12280701754385964
886.1209829867674,2014.0,27.0,5.9,100.0,18.56592592592594,25.639444444444475,760.074074074074,42.59444444444444,Male,0.0,Technical,None,single,2.0,False,False,False,False,False,False,False,False,1,50.49,0,paintWallboard,ventNoSupply,ventNoReturn,False,True,4.0,East,True,True,False,False,False,True,4,False,False,False,False,False,0.11685482273717568
