buildingID,O1_airHeatEl,O1_airHeatWater,O1_cavityInsulation,O1_centralCooling,O1_constructionYear,O1_exhaust,O1_exhaustSupply,O1_exhaustSupplyHeat,O1_extWallBrick,O1_extWallConcrete,O1_extWallWood,O1_exteriorInsulation,O1_facadeAsbest,O1_facadeBrick,O1_facadeConcrete,O1_facadeWood,O1_floorHeat,O1_individualCooling,O1_insulationOther,O1_intWallBrick,O1_intWallConcrete,O1_intWallGypsum,O1_intWallWood,O1_interiorInsulation,O1_natVentAut,O1_natVentman,O1_noCooling,O1_radiators,O1_renovationYear,O1rur_agr,O1rur_com,O1rur_ind,O1rur_nurb,O1suburb_com,O1suburb_indus,O1suburb_res,O1urb_com,O1urb_indus,O1urb_res,O2_constructionActivities,O2_emergencyGenerators,O2_garbageDumpsters,O2_heavyTraffic,O2_noOutdoorContSources,O2_powerPlants,O2_smokeStack,O3_deskWash,O3_envMat,O3_floorMope,O3_floorVacuum,O3_winWash,OO_buildingID,OO_buildingTypology,officeID,O2_windowOrientation,O2_floorArea,O2_ceilHeight,O2_officeType,O2_noWorkstations,O2_noOccupiedWorkstations,O2_noWinExt,O2_noOpWin,O2_viewGreenNature,O2_winArea,O2_viewRoadParking,O2_opWin,O2_winShades,O2_winShadePercentage,O2_crackWinPaint,O2_viewOtherBuildings,O2_paintWallboard,O2_paintDetachWidth,O2_paintDetachHeight,O2_fabric,O2_metal,O2_wallpaper,O2_otherWallCov,O2_otherWallCovComment,O2_woodPanels,O2_wallMoistureWidth,O2_wallMoistureHeight,O2_wallMouldWidth,O2_wallMouldHeight,O2_suspendedCeiling,O2_suspendedCeilingComment,O2_ceilingFabric,O2_ceilingMetal,O2_ceilingConcrete,O2_ceilingBoards,O2_ceilingWoodPanels,O2_ceilingMoistureWidth,O2_ceilingMoistureHeight,O2_ceilingMouldWidth,O2_ceilingMouldHeight,O2_otherCeiling,O2_otherCeilingComment,O2_floorCarpet,O2_floorPlastic,O2_floorWood,O2_floorConcrete,O2_floorDetachWidth,O2_floorDetachHeight,O2_floorDiscolorHeight,O2_floorDiscolorWidth,O2_floorScratchHeight,O2_floorScratchWidth,O2_lightLED,O2_lightIncan,O2_lightFlour,O2_desklight,O2_noSupplyDevices,O2_ventWallGrill,O2_ventLinCeilDif,O2_ventLowFloorGrill,O2_ventLuminaires,O2_ventSideWallDif,O2_ventPerfCeiling,O2_ventFloorReg,O2_ventFloorDif,O2_ventFancoil,O2_ventRoundDif,O2_ventOther,O2_ventNoSupply,O2_noReturnDevices,O2_ventReturnCeilGrill,O2_ventReturnCeilSlot,O2_ventReturnSlotsLum,O2_ventReturnFloorGrill,O2_ventReturnSideGrill,O2_ventReturnOther,O2_ventNoReturn,O2_noSpaceHeaters,O2_noSpaceHeatersInUse,O2_otherGreenPlants,O2_otherArt,O2_otherWallColor,O2_otherWaterEl,O2_otherLounge,O2_otherOther,O2_noHumidifiersInUse,O2_noDehumidifiersInUse,O2_noDeskfansInUse
303,False,False,False,False,2019.0,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,2-4,1,2-4,2-4,2-4,303,0,303d,Northwest,38.0,2.7,shared,7.0,4.0,5,5.0,True,19.0,True,26.0,Curtains,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,>50%,2,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,False,False,False,False,3,3,True,True,True,False,False,False,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304a,East,18.7,2.7,shared,3.0,1.0,3,1.0,True,5.9,True,27.0,Blinds,100.0,little,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,all,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,2,2,False,True,False,False,False,False,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304b,West,17.4,2.7,shared,2.0,1.0,4,1.0,True,5.3,False,45.0,Blinds,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,all,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,2,2,False,True,False,False,True,False,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304c,North,25.0,2.7,shared,3.0,1.0,3,1.0,True,6.3,True,25.0,Blinds,100.0,little,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,all,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,1,1,False,False,False,False,False,True,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304d,West,11.2,2.7,single,1.0,0.0,2,1.0,True,3.6,True,44.0,Blinds,100.0,little,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,all,0,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,1,1,True,False,False,False,False,False,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304e,West,11.4,3.0,shared,2.0,2.0,3,1.0,True,4.2,False,24.0,Blinds,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,none,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,1,1,True,False,False,False,False,True,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304f,West,11.4,3.0,single,1.0,0.0,3,1.0,True,4.2,False,24.0,Blinds,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,all,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,True,True,1,1,True,True,False,False,True,False,,,
304,False,False,False,False,2014.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,False,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,secondWeek,304,0,304g,West,17.2,3.0,shared,2.0,0.0,5,2.0,True,6.2,False,30.0,Blinds,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,True,False,all,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,2,2. intelligent house,True,False,False,False,False,True,,,
103_E2021,False,False,True,False,1972.0,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,False,False,True,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103_E2021,5,103_E2021a,West,90.0,2.5,openNoPartitions,9.0,7.0,12,6.0,False,11.5,True,50.0,Int + ext,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,>50%,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,12.0,12.0,True,True,False,False,False,False,,,
103_E2021,False,False,True,False,1972.0,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,False,False,True,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103_E2021,5,103_E2021b,East,38.0,2.5,shared,4.0,3.0,5,3.0,False,,True,,Int og ext,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,none,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,,,True,False,False,False,False,False,,,
