CO2_mean,RH_mean,T_mean,light_mean,sound_mean,sex,indoorClimate,Window Area,Office volume,Number of supply devices,Floor mopping frequency,viewGreenNature,talk
706.8333333333334,22.85074074074075,24.30296296296296,803.3,42.87777777777778,Female,0.0,6.2,51.6,0.0,4.0,True,False
706.8333333333334,22.85074074074075,24.30296296296296,803.3,42.87777777777778,Female,0.0,6.2,51.6,0.0,4.0,True,False
855.1470361816782,46.45203689469639,26.124673328209106,414.99308224442734,40.767870868562646,Male,1.0,1.2,54.0,0.0,5.0,False,True
915.2317262830484,48.6596923076923,25.47353846153851,97.81846153846152,42.02692307692308,Female,0.0,1.3,87.75,0.0,5.0,False,True
668.3826013513514,45.72079439252336,25.627024922118423,621.8411214953271,41.55451713395639,Female,0.0,1.2,62.1,0.0,5.0,False,False
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,42.11678267594741,Male,0.0,1.2,94.5,0.0,5.0,False,True
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,42.11678267594741,Male,0.0,1.2,94.5,0.0,5.0,False,False
965.0411622276029,46.12716049382713,26.09205246913581,129.75462962962962,41.55246913580247,Male,1.0,1.2,117.45,0.0,5.0,False,True
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,42.11678267594741,Female,1.0,1.2,94.5,0.0,5.0,False,True
668.3826013513514,45.72079439252336,25.627024922118423,621.8411214953271,41.55451713395639,,0.0,1.2,62.1,0.0,5.0,False,False
798.7935034802784,49.03673627223516,25.64447022428464,1087.647331786543,42.11678267594741,Male,0.0,1.2,94.5,0.0,5.0,False,True
845.2443181818181,46.239393939393935,23.100757575757573,55.07575757575758,41.08901515151515,Female,0.0,1.3,34.25,1.0,2.0,False,False
628.93542074364,42.32504854368936,24.63747572815537,147.00194174757283,41.557281553398056,Female,0.0,1.7,49.25,0.0,2.0,False,False
628.93542074364,42.32504854368936,24.63747572815537,147.00194174757283,41.557281553398056,Female,0.0,1.7,49.25,0.0,2.0,False,False
845.2443181818181,46.239393939393935,23.100757575757573,55.07575757575758,41.08901515151515,Female,1.0,1.3,34.25,1.0,2.0,False,False
845.2443181818181,46.239393939393935,23.100757575757573,55.07575757575758,41.08901515151515,Male,1.0,1.3,34.25,1.0,2.0,False,False
628.93542074364,42.32504854368936,24.63747572815537,147.00194174757283,41.557281553398056,Female,1.0,1.7,49.25,0.0,2.0,False,True
562.1269379844962,45.090891472868144,23.61579457364339,130.40891472868216,43.12306201550388,Female,1.0,1.9,69.25,0.0,2.0,False,False
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,43.34600389863548,Male,1.0,21.2,459.085,11.0,4.0,False,False
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,43.34600389863548,Male,1.0,21.2,459.085,11.0,4.0,False,False
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,43.34600389863548,Male,1.0,21.2,459.085,11.0,4.0,False,False
641.953216374269,41.00779727095521,23.45458089668616,276.270955165692,43.34600389863548,Male,1.0,21.2,459.085,11.0,4.0,False,False
588.261040235525,26.440231696014862,23.53596848934207,143.45319740500463,43.55236329935125,Male,1.0,32.646,810.4862400000001,17.0,4.0,False,False
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,Male,1.0,9.492,363.314248,8.0,4.0,False,True
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,Male,1.0,9.492,363.314248,8.0,4.0,False,False
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,Male,1.0,9.492,363.314248,8.0,4.0,False,False
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,Male,1.0,9.492,363.314248,8.0,4.0,False,False
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,Male,1.0,9.492,363.314248,8.0,4.0,False,True
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,,0.0,9.492,363.314248,8.0,4.0,False,False
521.0983302411873,26.65400742115036,23.99749536178119,185.9925788497217,41.87940630797774,,1.0,9.492,363.314248,8.0,4.0,False,True
588.261040235525,26.440231696014862,23.53596848934207,143.45319740500463,43.55236329935125,Male,1.0,32.646,810.4862400000001,17.0,4.0,False,True
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,43.9880624426079,Female,0.0,25.44,568.3199999999999,0.0,0.0,False,True
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,43.9880624426079,Female,0.0,25.44,568.3199999999999,0.0,0.0,False,False
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,43.9880624426079,Male,0.0,25.44,568.3199999999999,0.0,0.0,False,False
911.516069788797,28.29833792470164,24.583305785124,200.90541781450872,43.9880624426079,Male,1.0,25.44,568.3199999999999,0.0,0.0,False,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,0.0,8.2,66.56,0.0,4.0,True,True
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,0.0,8.2,66.56,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Male,1.0,29.5,295.936,0.0,4.0,True,True
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,1.0,8.2,66.56,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Male,1.0,29.5,295.936,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Male,1.0,29.5,295.936,0.0,4.0,True,True
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Female,1.0,29.5,295.936,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Male,0.0,29.5,295.936,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,0.0,8.2,66.56,0.0,4.0,True,True
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Female,0.0,29.5,295.936,0.0,4.0,True,True
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,1.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,1.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,0.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,0.0,8.2,66.56,0.0,4.0,True,False
688.4099616858238,27.04713747645958,24.03271186440681,112.79472693032017,41.67043314500942,Male,1.0,9.88,83.7632,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Female,0.0,29.5,295.936,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Male,1.0,29.5,295.936,0.0,4.0,True,True
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,1.0,8.2,66.56,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,,1.0,29.5,295.936,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,0.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,1.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,1.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,1.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,0.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,0.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,0.0,8.2,66.56,0.0,4.0,True,False
700.9924599434496,27.41680037313442,23.78522388059708,112.90485074626864,41.353544776119406,Female,0.0,29.5,295.936,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,1.0,8.2,66.56,0.0,4.0,True,True
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Male,1.0,8.2,66.56,0.0,4.0,True,False
708.3195488721805,27.51826492537316,24.005410447761275,180.9216417910448,41.96455223880597,Female,0.0,8.2,66.56,0.0,4.0,True,True
506.5978835978836,23.807476538060524,23.887351407716423,193.36183524504693,42.99374348279458,Male,0.0,22.4,154.90699999999998,4.0,0.0,False,True
480.6980952380952,24.25803370786516,23.4438826466916,354.3333333333333,41.48813982521848,Female,0.0,38.1,223.86,5.0,0.0,False,True
531.02634467618,22.874447646493813,24.24829010566768,438.7339097022094,41.525456292026895,Female,0.0,16.8,167.958,3.0,0.0,True,True
480.6980952380952,24.25803370786516,23.4438826466916,354.3333333333333,41.48813982521848,Female,1.0,38.1,223.86,5.0,0.0,False,False
480.6980952380952,24.25803370786516,23.4438826466916,354.3333333333333,41.48813982521848,Female,0.0,38.1,223.86,5.0,0.0,False,True
