CO2_mean,light_mean,sound_mean,sex,age,noiseOfficeEquipment,noiseTelephones,s7_better,Construction year,talk,noiseExterior
668.3826013513514,621.8411214953271,41.55451713395639,Female,3.0,False,False,0,1959.0,False,False
798.7935034802784,1087.647331786543,42.11678267594741,Male,3.0,False,False,0,1959.0,True,False
798.7935034802784,1087.647331786543,42.11678267594741,Male,2.0,False,False,0,1959.0,False,False
965.0411622276029,129.75462962962962,41.55246913580247,Male,2.0,False,True,1,1959.0,True,False
798.7935034802784,1087.647331786543,42.11678267594741,Female,2.0,False,False,0,1959.0,True,False
668.3826013513514,621.8411214953271,41.55451713395639,,2.0,False,False,0,1959.0,False,False
798.7935034802784,1087.647331786543,42.11678267594741,Male,2.0,False,False,0,1959.0,True,False
845.2443181818181,55.07575757575758,41.08901515151515,Female,4.0,False,False,0,1985.0,False,False
628.93542074364,147.00194174757283,41.557281553398056,Female,3.0,False,False,0,1985.0,True,False
628.93542074364,147.00194174757283,41.557281553398056,Female,3.0,False,False,0,1985.0,False,False
628.93542074364,147.00194174757283,41.557281553398056,Female,2.0,False,False,0,1985.0,False,False
845.2443181818181,55.07575757575758,41.08901515151515,Female,2.0,False,False,0,1985.0,False,False
845.2443181818181,55.07575757575758,41.08901515151515,Male,4.0,False,False,0,1985.0,False,False
628.93542074364,147.00194174757283,41.557281553398056,Female,3.0,False,False,1,1985.0,True,True
562.1269379844962,130.40891472868216,43.12306201550388,Female,1.0,False,False,0,1985.0,False,False
641.953216374269,276.270955165692,43.34600389863548,Male,0.0,False,False,0,1981.0,False,False
641.953216374269,276.270955165692,43.34600389863548,Male,1.0,False,False,0,1981.0,False,False
641.953216374269,276.270955165692,43.34600389863548,Male,2.0,False,False,0,1981.0,False,False
641.953216374269,276.270955165692,43.34600389863548,Male,0.0,False,False,0,1981.0,False,False
588.261040235525,143.45319740500463,43.55236329935125,Male,2.0,False,False,0,1991.0,False,False
521.0983302411873,185.9925788497217,41.87940630797774,Male,1.0,False,False,0,1991.0,True,False
521.0983302411873,185.9925788497217,41.87940630797774,Male,3.0,False,False,0,1991.0,False,False
521.0983302411873,185.9925788497217,41.87940630797774,Male,1.0,False,False,0,1991.0,False,False
521.0983302411873,185.9925788497217,41.87940630797774,Male,1.0,False,False,0,1991.0,False,False
521.0983302411873,185.9925788497217,41.87940630797774,Male,2.0,False,False,0,1991.0,True,False
521.0983302411873,185.9925788497217,41.87940630797774,,2.0,False,False,0,1991.0,False,True
521.0983302411873,185.9925788497217,41.87940630797774,,1.0,False,False,0,1991.0,True,True
588.261040235525,143.45319740500463,43.55236329935125,Male,1.0,False,True,0,1991.0,True,False
911.516069788797,200.90541781450872,43.9880624426079,Female,2.0,False,True,1,1893.0,True,True
911.516069788797,200.90541781450872,43.9880624426079,Female,0.0,False,False,0,1893.0,False,False
911.516069788797,200.90541781450872,43.9880624426079,Male,2.0,False,False,1,1893.0,False,False
911.516069788797,200.90541781450872,43.9880624426079,Male,0.0,False,False,0,1893.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,0.0,False,True,0,1995.0,True,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,1.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,Male,1.0,False,False,0,1995.0,True,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,1.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,Male,2.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,Male,4.0,False,False,0,1995.0,True,False
700.9924599434496,112.90485074626864,41.353544776119406,Female,2.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,Male,0.0,False,False,1,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,3.0,False,False,0,1995.0,True,False
700.9924599434496,112.90485074626864,41.353544776119406,Female,1.0,False,False,0,1995.0,True,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,2.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,2.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,1.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,3.0,False,False,0,1995.0,False,False
688.4099616858238,112.79472693032017,41.67043314500942,Male,3.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,Female,1.0,False,False,1,1995.0,False,False
