building,sex,age,job,contacts,smoker,distToWindow,windowOrientation,officeInterior,personsInOffice,hoursatdesk,photocopier,outside,perfume,food,tobaccoSmoke,printer,carpet,cleaningProd,noiseTraffic,noiseOverhearing,noiseOfficeEquipment,noiseTelephones,noisePhoneTalk,noiseNeighborTalk,noisemechanical,lightTooDark,lightTooBright,lightTooLittleDaylight,lightTooMuchDaylight,lightFlicker,lightReflections,lightColor,lightNoTask,symptabilitywork,symptstayhome,performanceOverall,indoorClimate,officeID,month,s0_better,s1_better,s3_better,s7_better,SBS1,SBS2
303,Male,_30-39,Technical,None,never,2-4,west,shared,4-5,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,6.0,5.0,303c,4,0,0,0,0,0,0
303,Male,_50-60,Technical,Glasses,never,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,5.0,303d,4,0,0,0,0,0,0
303,Female,_20-29,Professional,None,never,0-2,north,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,303d,4,1,0,0,0,1,1
303,Male,_20-29,Administrative,Glasses,never,0-2,northwest,shared,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,3.0,303c,4,0,0,0,0,0,0
303,Female,_50-60,Administrative,Glasses,former,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,303b,4,0,0,0,0,0,0
303,Female,_40-49,Administrative,Glasses,former,0-2,north,shared,1,>5,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,4.0,303d,4,0,0,0,0,0,0
303,Male,_20-29,Professional,None,current,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,----,----,6.0,4.0,303a,4,0,0,0,0,0,0
304,Male,_50-60,Technical,Glasses,former,0-2,northwest,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,3.0,2.0,304f,4,0,0,0,0,0,0
304,Male,_20-29,Technical,None,former,2-4,west,shared,2-3,3-5,False,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,,False,_6-10,_0,3.0,3.0,304e,4,0,0,0,0,1,0
304,Male,_50-60,Administrative,Glasses,former,0-2,north,withoutPartitions,2-3,3-5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,1.0,304c,4,0,0,0,0,0,0
304,Female,_20-29,,Contacts,former,0-2,norhteast,single,2-3,3-5,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,,False,_1-5,_1-5,2.0,5.0,304e,4,0,0,0,1,1,1
304,Female,_40-49,Managerial,Glasses,never,0-2,northwest,single,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,304g,4,0,0,0,0,0,0
304,Male,_50-60,Technical,None,never,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,----,----,2.0,1.0,304b,4,0,0,0,0,0,0
304,Female,_>60,Administrative,Glasses,never,2-4,west,single,1,>5,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,,False,----,_0,3.0,3.0,304e,4,0,0,0,0,0,0
304,Male,_20-29,Technical,None,never,0-2,southeast,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,3.0,304a,4,0,0,0,0,0,0
304,Female,_>60,Managerial,Glasses,never,0-2,west,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_1-5,4.0,2.0,304b,4,1,0,0,0,1,1
304,Male,_>60,Administrative,Glasses,never,0-2,west,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,_0,_0,3.0,2.0,304d,4,0,0,0,0,0,0
304,Female,_30-39,Professional,None,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,,,,304g,4,0,0,0,0,0,0
304,Female,_30-39,Professional,None,never,0-2,---,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,,,,304g,4,0,0,0,0,0,0
304,Female,_30-39,Administrative,Contacts,never,0-2,---,shared,2-3,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,_1-5,_0,1.0,1.0,304g,4,1,0,0,0,1,1
304,Female,_30-39,Professional,None,never,0-2,---,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_6-10,_1-5,0.0,0.0,304g,4,0,0,0,0,0,0
305A,Male,_50-60,Administrative,Glasses,former,0-2,east,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,,False,_0,_0,3.0,4.0,305g,9,0,0,0,0,0,0
305A,Female,_30-39,Managerial,Glasses,current,0-2,east,single,1,>5,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,,False,_1-5,_0,2.0,1.0,305i,9,1,0,0,1,1,1
305A,Female,_50-60,Administrative,Glasses,former,0-2,southwest,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,305b,9,0,0,0,0,0,0
305A,Male,_50-60,Administrative,Glasses,former,2-4,west,withPartitions,4-5,3-5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,2.0,2.0,305e,9,0,0,0,0,0,0
305A,Male,_40-49,Administrative,None,never,0-2,southwest,withPartitions,4-5,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,_1-5,_0,2.0,1.0,305e,9,0,0,0,0,0,0
305A,Male,_40-49,Managerial,Glasses,current,0-2,west,withoutPartitions,>5,1-2,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,,False,_0,_0,3.0,3.0,305c,9,0,0,0,1,1,0
305A,Female,_40-49,Administrative,Glasses,never,0-2,west,withPartitions,4-5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_1-5,2.0,4.0,305e,9,0,0,0,0,0,0
305A,,----,Administrative,Glasses,former,0-2,---,shared,2-3,>5,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,1.0,1.0,305b,9,0,0,0,0,0,0
305A,Male,_40-49,Managerial,Glasses,current,0-2,west,withPartitions,4-5,3-5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,,False,_1-5,_0,2.0,1.0,305e,9,0,0,0,0,0,0
306,Female,_>60,Administrative,Glasses,former,0-2,east,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,2.0,1.0,3060A,10,0,0,0,0,0,0
306,Female,_50-60,Administrative,Glasses,never,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,,,,,3060B,10,0,0,0,0,0,0
306,Female,_50-60,Administrative,Glasses,former,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,2.0,3060B,10,1,1,0,0,1,1
306,Female,_40-49,Administrative,Glasses,never,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,3060B,10,0,0,0,0,0,0
